03/12/21 23:49:53 Uhr UTC,95.60,21.50
03/12/21 23:50:23 Uhr UTC,95.60,21.50
03/12/21 23:50:53 Uhr UTC,95.60,21.60
03/12/21 23:51:23 Uhr UTC,95.60,21.50
03/12/21 23:51:53 Uhr UTC,95.70,21.50
03/12/21 23:52:23 Uhr UTC,95.70,21.50
03/12/21 23:52:53 Uhr UTC,95.70,21.50
03/12/21 23:53:23 Uhr UTC,95.70,21.50
03/12/21 23:53:53 Uhr UTC,95.70,21.50
03/12/21 23:54:24 Uhr UTC,95.80,21.50
03/12/21 23:54:54 Uhr UTC,95.80,21.50
03/12/21 23:55:24 Uhr UTC,95.80,21.50
03/12/21 23:55:54 Uhr UTC,95.80,21.50
03/12/21 23:56:24 Uhr UTC,95.80,21.50
03/12/21 23:56:54 Uhr UTC,95.80,21.50
03/12/21 23:57:24 Uhr UTC,95.90,21.50
03/12/21 23:57:54 Uhr UTC,95.90,21.50
03/12/21 23:58:24 Uhr UTC,95.90,21.40
03/12/21 23:58:54 Uhr UTC,95.90,21.50
03/12/21 23:59:24 Uhr UTC,95.90,21.50
03/12/21 23:59:54 Uhr UTC,95.90,21.50
03/13/21 00:00:24 Uhr UTC,95.90,21.50
03/13/21 00:00:54 Uhr UTC,96.00,21.50
03/13/21 00:01:24 Uhr UTC,95.90,21.40
03/13/21 00:01:54 Uhr UTC,96.00,21.50
03/13/21 00:02:24 Uhr UTC,96.00,21.40
03/13/21 00:02:54 Uhr UTC,96.00,21.50
03/13/21 00:03:24 Uhr UTC,96.00,21.40
03/13/21 00:03:54 Uhr UTC,96.00,21.40
03/13/21 00:04:24 Uhr UTC,96.00,21.40
03/13/21 00:04:54 Uhr UTC,96.00,21.40
03/13/21 00:05:24 Uhr UTC,96.10,21.40
03/13/21 00:05:54 Uhr UTC,96.10,21.40
03/13/21 00:06:24 Uhr UTC,96.10,21.40
03/13/21 00:06:55 Uhr UTC,96.10,21.40
03/13/21 00:07:25 Uhr UTC,96.10,21.40
03/13/21 00:07:55 Uhr UTC,96.10,21.50
03/13/21 00:08:25 Uhr UTC,96.10,21.40
03/13/21 00:08:55 Uhr UTC,96.10,21.40
03/13/21 00:09:25 Uhr UTC,96.20,21.40
03/13/21 00:09:55 Uhr UTC,96.20,21.40
03/13/21 00:10:25 Uhr UTC,96.20,21.40
03/13/21 00:10:55 Uhr UTC,96.20,21.40
03/13/21 00:11:25 Uhr UTC,96.20,21.40
03/13/21 00:11:55 Uhr UTC,96.20,21.40
03/13/21 00:12:25 Uhr UTC,96.20,21.40
03/13/21 00:12:55 Uhr UTC,96.20,21.40
03/13/21 00:13:25 Uhr UTC,96.30,21.40
03/13/21 00:13:55 Uhr UTC,96.30,21.40
03/13/21 00:14:25 Uhr UTC,96.30,21.40
03/13/21 00:14:55 Uhr UTC,96.30,21.40
03/13/21 00:15:25 Uhr UTC,96.30,21.40
03/13/21 00:15:55 Uhr UTC,96.30,21.40
03/13/21 00:16:25 Uhr UTC,96.30,21.30
03/13/21 00:16:55 Uhr UTC,96.30,21.40
03/13/21 00:17:25 Uhr UTC,96.30,21.30
03/13/21 00:17:55 Uhr UTC,96.30,21.30
03/13/21 00:18:25 Uhr UTC,96.40,21.40
03/13/21 00:18:55 Uhr UTC,96.40,21.40
03/13/21 00:19:26 Uhr UTC,96.40,21.30
03/13/21 00:19:56 Uhr UTC,96.40,21.40
03/13/21 00:20:26 Uhr UTC,96.40,21.30
03/13/21 00:20:56 Uhr UTC,96.40,21.30
03/13/21 00:21:26 Uhr UTC,96.40,21.30
03/13/21 00:21:56 Uhr UTC,96.40,21.30
03/13/21 00:22:26 Uhr UTC,96.40,21.30
03/13/21 00:22:56 Uhr UTC,96.50,21.30
03/13/21 00:23:26 Uhr UTC,96.50,21.30
03/13/21 00:23:56 Uhr UTC,96.50,21.30
03/13/21 00:24:26 Uhr UTC,96.50,21.30
03/13/21 00:24:56 Uhr UTC,96.50,21.30
03/13/21 00:25:26 Uhr UTC,96.50,21.30
03/13/21 00:25:56 Uhr UTC,96.50,21.30
03/13/21 00:26:26 Uhr UTC,96.50,21.30
03/13/21 00:26:56 Uhr UTC,96.50,21.30
03/13/21 00:27:26 Uhr UTC,96.60,21.30
03/13/21 00:27:56 Uhr UTC,96.60,21.30
03/13/21 00:28:26 Uhr UTC,96.60,21.30
03/13/21 00:28:56 Uhr UTC,96.60,21.30
03/13/21 00:29:26 Uhr UTC,96.60,21.30
03/13/21 00:29:56 Uhr UTC,96.60,21.30
03/13/21 00:30:26 Uhr UTC,96.60,21.30
03/13/21 00:30:56 Uhr UTC,96.60,21.30
03/13/21 00:31:26 Uhr UTC,96.60,21.30
03/13/21 00:31:57 Uhr UTC,96.60,21.30
03/13/21 00:32:27 Uhr UTC,96.70,21.30
03/13/21 00:32:57 Uhr UTC,96.70,21.30
03/13/21 00:33:27 Uhr UTC,96.70,21.30
03/13/21 00:33:57 Uhr UTC,96.70,21.30
03/13/21 00:34:27 Uhr UTC,96.70,21.20
03/13/21 00:34:57 Uhr UTC,96.70,21.20
03/13/21 00:35:27 Uhr UTC,96.70,21.20
03/13/21 00:35:57 Uhr UTC,96.70,21.20
03/13/21 00:36:27 Uhr UTC,96.70,21.30
03/13/21 00:36:57 Uhr UTC,96.70,21.20
03/13/21 00:37:27 Uhr UTC,96.80,21.30
03/13/21 00:37:57 Uhr UTC,96.80,21.20
03/13/21 00:38:27 Uhr UTC,96.80,21.20
03/13/21 00:38:57 Uhr UTC,96.80,21.20
03/13/21 00:39:27 Uhr UTC,96.80,21.20
03/13/21 00:39:57 Uhr UTC,96.80,21.20
03/13/21 00:40:27 Uhr UTC,96.80,21.20
03/13/21 00:40:57 Uhr UTC,96.80,21.20
03/13/21 00:41:27 Uhr UTC,96.80,21.20
03/13/21 00:41:57 Uhr UTC,96.80,21.20
03/13/21 00:42:27 Uhr UTC,96.80,21.20
03/13/21 00:42:57 Uhr UTC,96.80,21.20
03/13/21 00:43:27 Uhr UTC,96.90,21.20
03/13/21 00:43:58 Uhr UTC,96.90,21.20
03/13/21 00:44:28 Uhr UTC,96.90,21.30
03/13/21 00:44:58 Uhr UTC,96.90,21.20
03/13/21 00:45:28 Uhr UTC,96.90,21.20
03/13/21 00:45:58 Uhr UTC,96.90,21.20
03/13/21 00:46:28 Uhr UTC,96.90,21.20
03/13/21 00:46:58 Uhr UTC,96.90,21.20
03/13/21 00:47:28 Uhr UTC,96.90,21.20
03/13/21 00:47:58 Uhr UTC,96.90,21.20
03/13/21 00:48:28 Uhr UTC,96.90,21.20
03/13/21 00:48:58 Uhr UTC,97.00,21.20
03/13/21 00:49:28 Uhr UTC,97.00,21.20
03/13/21 00:49:58 Uhr UTC,97.00,21.20
03/13/21 00:50:28 Uhr UTC,97.00,21.20
03/13/21 00:50:58 Uhr UTC,97.00,21.20
03/13/21 00:51:28 Uhr UTC,97.00,21.20
03/13/21 00:51:58 Uhr UTC,97.00,21.20
03/13/21 00:52:28 Uhr UTC,97.00,21.20
03/13/21 00:52:58 Uhr UTC,97.00,21.20
03/13/21 00:53:28 Uhr UTC,97.00,21.10
03/13/21 00:53:58 Uhr UTC,97.00,21.20
03/13/21 00:54:28 Uhr UTC,97.00,21.20
03/13/21 00:54:58 Uhr UTC,97.00,21.20
03/13/21 00:55:28 Uhr UTC,97.00,21.20
03/13/21 00:55:58 Uhr UTC,97.10,21.20
03/13/21 00:56:29 Uhr UTC,97.10,21.20
03/13/21 00:56:59 Uhr UTC,97.10,21.20
03/13/21 00:57:29 Uhr UTC,97.10,21.20
03/13/21 00:57:59 Uhr UTC,97.10,21.20
03/13/21 00:58:29 Uhr UTC,97.10,21.20
03/13/21 00:58:59 Uhr UTC,97.10,21.20
03/13/21 00:59:29 Uhr UTC,97.10,21.10
03/13/21 00:59:59 Uhr UTC,97.10,21.10
03/13/21 01:00:29 Uhr UTC,97.10,21.10
03/13/21 01:00:59 Uhr UTC,97.10,21.10
03/13/21 01:01:29 Uhr UTC,97.10,21.10
03/13/21 01:01:59 Uhr UTC,97.10,21.10
03/13/21 01:02:29 Uhr UTC,97.10,21.10
03/13/21 01:02:59 Uhr UTC,97.10,21.10
03/13/21 01:03:29 Uhr UTC,97.10,21.10
03/13/21 01:03:59 Uhr UTC,97.10,21.10
03/13/21 01:04:29 Uhr UTC,97.20,21.10
03/13/21 01:04:59 Uhr UTC,97.20,21.10
03/13/21 01:05:29 Uhr UTC,97.20,21.10
03/13/21 01:05:59 Uhr UTC,97.20,21.10
03/13/21 01:06:29 Uhr UTC,97.20,21.10
03/13/21 01:06:59 Uhr UTC,97.20,21.10
03/13/21 01:07:29 Uhr UTC,97.20,21.10
03/13/21 01:07:59 Uhr UTC,97.20,21.10
03/13/21 01:08:29 Uhr UTC,97.20,21.10
03/13/21 01:09:00 Uhr UTC,97.20,21.10
03/13/21 01:09:30 Uhr UTC,97.20,21.10
03/13/21 01:10:00 Uhr UTC,97.20,21.10
03/13/21 01:10:30 Uhr UTC,97.20,21.10
03/13/21 01:11:00 Uhr UTC,97.30,21.10
03/13/21 01:11:30 Uhr UTC,97.30,21.10
03/13/21 01:12:00 Uhr UTC,97.30,21.10
03/13/21 01:12:30 Uhr UTC,97.30,21.10
03/13/21 01:13:00 Uhr UTC,97.30,21.10
03/13/21 01:13:30 Uhr UTC,97.30,21.10
03/13/21 01:14:00 Uhr UTC,97.30,21.10
03/13/21 01:14:30 Uhr UTC,97.30,21.10
03/13/21 01:15:00 Uhr UTC,97.30,21.10
03/13/21 01:15:30 Uhr UTC,97.30,21.10
03/13/21 01:16:00 Uhr UTC,97.30,21.10
03/13/21 01:16:30 Uhr UTC,97.30,21.10
03/13/21 01:17:00 Uhr UTC,97.30,21.10
03/13/21 01:17:30 Uhr UTC,97.30,21.10
03/13/21 01:18:00 Uhr UTC,97.30,21.10
03/13/21 01:18:30 Uhr UTC,97.30,21.10
03/13/21 01:19:00 Uhr UTC,97.30,21.10
03/13/21 01:19:30 Uhr UTC,97.40,21.10
03/13/21 01:20:00 Uhr UTC,97.30,21.00
03/13/21 01:20:30 Uhr UTC,97.40,21.10
03/13/21 01:21:00 Uhr UTC,97.30,21.00
03/13/21 01:21:31 Uhr UTC,97.40,21.00
03/13/21 01:22:01 Uhr UTC,97.40,21.10
03/13/21 01:22:31 Uhr UTC,97.40,21.00
03/13/21 01:23:01 Uhr UTC,97.40,21.00
03/13/21 01:23:31 Uhr UTC,97.40,21.00
03/13/21 01:24:01 Uhr UTC,97.40,21.00
03/13/21 01:24:31 Uhr UTC,97.40,21.00
03/13/21 01:25:01 Uhr UTC,97.40,21.00
03/13/21 01:25:31 Uhr UTC,97.40,21.00
03/13/21 01:26:01 Uhr UTC,97.40,21.00
03/13/21 01:26:31 Uhr UTC,97.40,21.00
03/13/21 01:27:01 Uhr UTC,97.40,21.00
03/13/21 01:27:31 Uhr UTC,97.40,21.00
03/13/21 01:28:01 Uhr UTC,97.40,21.00
03/13/21 01:28:31 Uhr UTC,97.40,21.00
03/13/21 01:29:01 Uhr UTC,97.40,21.00
03/13/21 01:29:31 Uhr UTC,97.40,21.00
03/13/21 01:30:01 Uhr UTC,97.40,21.00
03/13/21 01:30:31 Uhr UTC,97.40,21.00
03/13/21 01:31:01 Uhr UTC,97.40,21.00
03/13/21 01:31:31 Uhr UTC,97.50,21.00
03/13/21 01:32:01 Uhr UTC,97.50,21.00
03/13/21 01:32:31 Uhr UTC,97.50,21.00
03/13/21 01:33:01 Uhr UTC,97.50,21.00
03/13/21 01:33:31 Uhr UTC,97.50,21.00
03/13/21 01:34:02 Uhr UTC,97.50,21.00
03/13/21 01:34:32 Uhr UTC,97.50,21.00
03/13/21 01:35:02 Uhr UTC,97.50,21.00
03/13/21 01:35:32 Uhr UTC,97.50,21.00
03/13/21 01:36:02 Uhr UTC,97.50,21.00
03/13/21 01:36:32 Uhr UTC,97.50,21.00
03/13/21 01:37:02 Uhr UTC,97.50,20.90
03/13/21 01:37:32 Uhr UTC,97.50,21.00
03/13/21 01:38:02 Uhr UTC,97.50,21.00
03/13/21 01:38:32 Uhr UTC,97.50,21.00
03/13/21 01:39:02 Uhr UTC,97.50,20.90
03/13/21 01:39:32 Uhr UTC,97.50,20.90
03/13/21 01:40:02 Uhr UTC,97.50,20.90
03/13/21 01:40:32 Uhr UTC,97.50,20.90
03/13/21 01:41:02 Uhr UTC,97.50,20.90
03/13/21 01:41:32 Uhr UTC,97.60,21.00
03/13/21 01:42:02 Uhr UTC,97.60,20.90
03/13/21 01:42:32 Uhr UTC,97.60,20.90
03/13/21 01:43:02 Uhr UTC,97.60,20.90
03/13/21 01:43:32 Uhr UTC,97.60,20.90
03/13/21 01:44:02 Uhr UTC,97.60,20.90
03/13/21 01:44:32 Uhr UTC,97.60,20.90
03/13/21 01:45:02 Uhr UTC,97.60,20.90
03/13/21 01:45:32 Uhr UTC,97.60,20.90
03/13/21 01:46:02 Uhr UTC,97.60,20.90
03/13/21 01:46:33 Uhr UTC,97.60,20.90
03/13/21 01:47:03 Uhr UTC,97.60,20.90
03/13/21 01:47:33 Uhr UTC,97.60,20.90
03/13/21 01:48:03 Uhr UTC,97.60,20.90
03/13/21 01:48:33 Uhr UTC,97.60,20.90
03/13/21 01:49:03 Uhr UTC,97.60,20.90
03/13/21 01:49:33 Uhr UTC,97.60,20.90
03/13/21 01:50:03 Uhr UTC,97.60,20.90
03/13/21 01:50:33 Uhr UTC,97.60,20.90
03/13/21 01:51:03 Uhr UTC,97.60,20.90
03/13/21 01:51:33 Uhr UTC,97.60,20.90
03/13/21 01:52:03 Uhr UTC,97.60,20.90
03/13/21 01:52:33 Uhr UTC,97.70,20.90
03/13/21 01:53:03 Uhr UTC,97.60,20.90
03/13/21 01:53:33 Uhr UTC,97.60,20.90
03/13/21 01:54:03 Uhr UTC,97.70,20.90
03/13/21 01:54:33 Uhr UTC,97.70,20.90
03/13/21 01:55:03 Uhr UTC,97.70,20.90
03/13/21 01:55:33 Uhr UTC,97.70,20.90
03/13/21 01:56:03 Uhr UTC,97.70,20.90
03/13/21 01:56:33 Uhr UTC,97.70,20.90
03/13/21 01:57:03 Uhr UTC,97.70,20.90
03/13/21 01:57:33 Uhr UTC,97.70,20.90
03/13/21 01:58:03 Uhr UTC,97.70,20.90
03/13/21 01:58:33 Uhr UTC,97.70,20.90
03/13/21 01:59:04 Uhr UTC,97.70,20.80
03/13/21 01:59:34 Uhr UTC,97.70,20.80
03/13/21 02:00:04 Uhr UTC,97.70,20.90
03/13/21 02:00:34 Uhr UTC,97.70,20.90
03/13/21 02:01:04 Uhr UTC,97.70,20.80
03/13/21 02:01:34 Uhr UTC,97.70,20.80
03/13/21 02:02:04 Uhr UTC,97.70,20.90
03/13/21 02:02:34 Uhr UTC,97.70,20.90
03/13/21 02:03:04 Uhr UTC,97.70,20.80
03/13/21 02:03:34 Uhr UTC,97.70,20.80
03/13/21 02:04:04 Uhr UTC,97.80,20.90
03/13/21 02:04:34 Uhr UTC,97.70,20.80
03/13/21 02:05:04 Uhr UTC,97.70,20.80
03/13/21 02:05:34 Uhr UTC,97.70,20.80
03/13/21 02:06:04 Uhr UTC,97.80,20.90
03/13/21 02:06:34 Uhr UTC,97.70,20.80
03/13/21 02:07:04 Uhr UTC,97.80,20.80
03/13/21 02:07:34 Uhr UTC,97.70,20.80
03/13/21 02:08:04 Uhr UTC,97.80,20.80
03/13/21 02:08:34 Uhr UTC,97.80,20.80
03/13/21 02:09:04 Uhr UTC,97.80,20.80
03/13/21 02:09:34 Uhr UTC,97.80,20.80
03/13/21 02:10:04 Uhr UTC,97.80,20.80
03/13/21 02:10:34 Uhr UTC,97.80,20.80
03/13/21 02:11:04 Uhr UTC,97.80,20.80
03/13/21 02:11:35 Uhr UTC,97.80,20.80
03/13/21 02:12:05 Uhr UTC,97.80,20.80
03/13/21 02:12:35 Uhr UTC,97.80,20.80
03/13/21 02:13:05 Uhr UTC,97.80,20.80
03/13/21 02:13:35 Uhr UTC,97.80,20.80
03/13/21 02:14:05 Uhr UTC,97.80,20.80
03/13/21 02:14:35 Uhr UTC,97.80,20.80
03/13/21 02:15:05 Uhr UTC,97.80,20.80
03/13/21 02:15:35 Uhr UTC,97.80,20.80
03/13/21 02:16:05 Uhr UTC,97.80,20.80
03/13/21 02:16:35 Uhr UTC,97.80,20.80
03/13/21 02:17:05 Uhr UTC,97.80,20.80
03/13/21 02:17:35 Uhr UTC,97.80,20.80
03/13/21 02:18:05 Uhr UTC,97.90,20.80
03/13/21 02:18:35 Uhr UTC,97.90,20.80
03/13/21 02:19:05 Uhr UTC,97.90,20.80
03/13/21 02:19:35 Uhr UTC,97.90,20.80
03/13/21 02:20:05 Uhr UTC,97.90,20.80
03/13/21 02:20:35 Uhr UTC,97.90,20.80
03/13/21 02:21:05 Uhr UTC,97.90,20.80
03/13/21 02:21:35 Uhr UTC,97.80,20.70
03/13/21 02:22:05 Uhr UTC,97.80,20.70
03/13/21 02:22:35 Uhr UTC,97.90,20.80
03/13/21 02:23:05 Uhr UTC,97.90,20.80
03/13/21 02:23:35 Uhr UTC,97.90,20.80
03/13/21 02:24:06 Uhr UTC,97.90,20.80
03/13/21 02:24:36 Uhr UTC,97.90,20.80
03/13/21 02:25:06 Uhr UTC,97.90,20.70
03/13/21 02:25:36 Uhr UTC,97.90,20.70
03/13/21 02:26:06 Uhr UTC,97.90,20.80
03/13/21 02:26:36 Uhr UTC,97.90,20.80
03/13/21 02:27:06 Uhr UTC,97.90,20.70
03/13/21 02:27:36 Uhr UTC,97.90,20.80
03/13/21 02:28:06 Uhr UTC,97.90,20.80
03/13/21 02:28:36 Uhr UTC,97.90,20.70
03/13/21 02:29:06 Uhr UTC,97.90,20.70
03/13/21 02:29:36 Uhr UTC,97.90,20.70
03/13/21 02:30:06 Uhr UTC,97.90,20.80
03/13/21 02:30:36 Uhr UTC,97.90,20.80
03/13/21 02:31:06 Uhr UTC,97.90,20.70
03/13/21 02:31:36 Uhr UTC,97.90,20.70
03/13/21 02:32:06 Uhr UTC,97.90,20.70
03/13/21 02:32:36 Uhr UTC,97.90,20.70
03/13/21 02:33:06 Uhr UTC,97.90,20.70
03/13/21 02:33:36 Uhr UTC,97.90,20.70
